Running 1m test @ http://172.31.22.216:5000/yolo
  1 threads and 1 connections
  Thread calibration: mean lat.: 49.699ms, rate sampling interval: 421ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     6.28ms   14.99ms 109.50ms   95.75%
    Req/Sec   199.87      4.67   230.00     94.92%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    3.18ms
 75.000%    3.55ms
 90.000%    4.46ms
 99.000%   99.58ms
 99.900%  108.80ms
 99.990%  109.38ms
 99.999%  109.57ms
100.000%  109.57ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.341     0.000000            1         1.00
       2.607     0.100000         1013         1.11
       2.743     0.200000         2010         1.25
       2.907     0.300000         3004         1.43
       3.059     0.400000         4002         1.67
       3.177     0.500000         5000         2.00
       3.235     0.550000         5522         2.22
       3.297     0.600000         6011         2.50
       3.363     0.650000         6506         2.86
       3.449     0.700000         7001         3.33
       3.551     0.750000         7500         4.00
       3.603     0.775000         7753         4.44
       3.661     0.800000         8003         5.00
       3.729     0.825000         8256         5.71
       3.809     0.850000         8500         6.67
       3.971     0.875000         8751         8.00
       4.127     0.887500         8879         8.89
       4.463     0.900000         9000        10.00
       5.223     0.912500         9125        11.43
       7.083     0.925000         9250        13.33
       9.191     0.937500         9375        16.00
      10.751     0.943750         9437        17.78
      14.015     0.950000         9500        20.00
      20.495     0.956250         9562        22.86
      23.487     0.962500         9625        26.67
      35.007     0.968750         9687        32.00
      51.327     0.971875         9718        35.56
      66.623     0.975000         9750        40.00
      73.919     0.978125         9781        45.71
      86.015     0.981250         9812        53.33
      92.863     0.984375         9843        64.00
      96.127     0.985938         9859        71.11
      97.983     0.987500         9876        80.00
      99.199     0.989062         9893        91.43
      99.711     0.990625         9906       106.67
     103.167     0.992188         9921       128.00
     105.087     0.992969         9930       142.22
     105.599     0.993750         9937       160.00
     107.007     0.994531         9945       182.86
     107.519     0.995313         9953       213.33
     107.775     0.996094         9964       256.00
     107.775     0.996484         9964       284.44
     107.903     0.996875         9969       320.00
     107.967     0.997266         9974       365.71
     108.159     0.997656         9977       426.67
     108.287     0.998047         9983       512.00
     108.287     0.998242         9983       568.89
     108.351     0.998437         9984       640.00
     108.479     0.998633         9987       731.43
     108.607     0.998828         9988       853.33
     108.863     0.999023         9991      1024.00
     108.863     0.999121         9991      1137.78
     108.927     0.999219         9992      1280.00
     108.991     0.999316         9993      1462.86
     109.055     0.999414         9994      1706.67
     109.247     0.999512         9995      2048.00
     109.247     0.999561         9995      2275.56
     109.311     0.999609         9997      2560.00
     109.311     0.999658         9997      2925.71
     109.311     0.999707         9997      3413.33
     109.311     0.999756         9997      4096.00
     109.311     0.999780         9997      4551.11
     109.375     0.999805         9998      5120.00
     109.375     0.999829         9998      5851.43
     109.375     0.999854         9998      6826.67
     109.375     0.999878         9998      8192.00
     109.375     0.999890         9998      9102.22
     109.567     0.999902         9999     10240.00
     109.567     1.000000         9999          inf
#[Mean    =        6.277, StdDeviation   =       14.989]
#[Max     =      109.504, Total count    =         9999]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  12001 requests in 1.00m, 2.14MB read
Requests/sec:    200.00
Transfer/sec:     36.52KB

