Running 1m test @ http://172.31.22.216:5000/yolo
  2 threads and 2 connections
  Thread calibration: mean lat.: 4.141ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 4.095ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    44.17ms  142.51ms 706.56ms   92.65%
    Req/Sec   158.11     56.83   333.00     51.25%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    4.13ms
 75.000%    4.78ms
 90.000%   12.39ms
 99.000%  677.89ms
 99.900%  702.46ms
 99.990%  706.56ms
 99.999%  707.07ms
100.000%  707.07ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.441     0.000000            1         1.00
       3.435     0.100000         1502         1.11
       3.715     0.200000         3014         1.25
       3.871     0.300000         4501         1.43
       4.005     0.400000         6019         1.67
       4.131     0.500000         7530         2.00
       4.207     0.550000         8271         2.22
       4.295     0.600000         9023         2.50
       4.407     0.650000         9763         2.86
       4.539     0.700000        10505         3.33
       4.775     0.750000        11252         4.00
       4.967     0.775000        11626         4.44
       5.203     0.800000        12005         5.00
       5.535     0.825000        12374         5.71
       6.059     0.850000        12753         6.67
       7.851     0.875000        13124         8.00
       9.303     0.887500        13313         8.89
      12.463     0.900000        13499        10.00
      21.935     0.912500        13686        11.43
     161.023     0.925000        13874        13.33
     344.831     0.937500        14061        16.00
     414.719     0.943750        14155        17.78
     474.623     0.950000        14249        20.00
     521.727     0.956250        14342        22.86
     571.903     0.962500        14436        26.67
     607.231     0.968750        14532        32.00
     613.887     0.971875        14577        35.56
     624.639     0.975000        14625        40.00
     631.807     0.978125        14671        45.71
     646.143     0.981250        14719        53.33
     658.431     0.984375        14765        64.00
     663.551     0.985938        14788        71.11
     670.207     0.987500        14813        80.00
     674.815     0.989062        14836        91.43
     680.959     0.990625        14860       106.67
     684.031     0.992188        14883       128.00
     685.567     0.992969        14896       142.22
     687.103     0.993750        14906       160.00
     689.151     0.994531        14918       182.86
     690.687     0.995313        14929       213.33
     693.247     0.996094        14940       256.00
     695.295     0.996484        14946       284.44
     696.831     0.996875        14956       320.00
     697.343     0.997266        14960       365.71
     697.855     0.997656        14963       426.67
     698.367     0.998047        14969       512.00
     698.879     0.998242        14972       568.89
     699.903     0.998437        14976       640.00
     700.415     0.998633        14978       731.43
     701.439     0.998828        14981       853.33
     702.463     0.999023        14984      1024.00
     702.975     0.999121        14987      1137.78
     702.975     0.999219        14987      1280.00
     703.487     0.999316        14988      1462.86
     703.999     0.999414        14990      1706.67
     704.511     0.999512        14992      2048.00
     704.511     0.999561        14992      2275.56
     705.023     0.999609        14993      2560.00
     705.023     0.999658        14993      2925.71
     705.535     0.999707        14995      3413.33
     705.535     0.999756        14995      4096.00
     705.535     0.999780        14995      4551.11
     706.047     0.999805        14996      5120.00
     706.047     0.999829        14996      5851.43
     706.047     0.999854        14996      6826.67
     706.559     0.999878        14997      8192.00
     706.559     0.999890        14997      9102.22
     706.559     0.999902        14997     10240.00
     706.559     0.999915        14997     11702.86
     706.559     0.999927        14997     13653.33
     707.071     0.999939        14998     16384.00
     707.071     1.000000        14998          inf
#[Mean    =       44.173, StdDeviation   =      142.513]
#[Max     =      706.560, Total count    =        14998]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  18002 requests in 1.00m, 3.21MB read
Requests/sec:    300.02
Transfer/sec:     54.79KB

